Date;ClosingPrice;Open;DailyHigh;DailyLow
03.01.2019;1086,80000;1069,39000;1093,22000;1063,63000
04.01.2019;1118,03000;1090,96000;1118,03000;1090,96000
08.01.2019;1122,90000;1116,61000;1127,70000;1114,38000
09.01.2019;1135,51000;1127,09000;1137,15000;1124,42000
10.01.2019;1142,32000;1139,22000;1142,32000;1129,15000
11.01.2019;1148,75000;1146,76000;1153,31000;1140,39000
14.01.2019;1147,16000;1148,29000;1148,29000;1132,28000
15.01.2019;1148,03000;1146,97000;1155,03000;1139,16000
16.01.2019;1152,99000;1148,09000;1155,09000;1146,20000
17.01.2019;1157,06000;1156,42000;1157,89000;1148,25000
18.01.2019;1176,42000;1164,95000;1176,42000;1163,38000
21.01.2019;1171,09000;1175,84000;1178,44000;1171,09000
22.01.2019;1169,79000;1170,32000;1170,32000;1161,91000
23.01.2019;1186,51000;1168,49000;1186,61000;1167,86000
24.01.2019;1188,15000;1187,07000;1191,50000;1179,74000
25.01.2019;1192,02000;1190,70000;1193,29000;1181,79000
28.01.2019;1178,91000;1192,98000;1196,78000;1175,12000
29.01.2019;1191,38000;1176,95000;1192,79000;1169,06000
30.01.2019;1198,99000;1190,83000;1200,09000;1187,66000
31.01.2019;1214,45000;1210,89000;1224,55000;1210,89000
01.02.2019;1211,23000;1213,70000;1218,41000;1205,11000
04.02.2019;1211,15000;1213,36000;1219,09000;1209,20000
05.02.2019;1223,48000;1212,45000;1226,56000;1212,33000
06.02.2019;1215,83000;1222,94000;1225,08000;1214,56000
07.02.2019;1200,14000;1213,51000;1213,51000;1197,06000
08.02.2019;1199,65000;1199,00000;1201,41000;1189,57000
11.02.2019;1201,33000;1198,87000;1209,81000;1198,81000
12.02.2019;1215,47000;1201,34000;1218,83000;1201,34000
13.02.2019;1190,79000;1212,00000;1215,48000;1190,60000
14.02.2019;1156,31000;1169,05000;1174,19000;1151,95000
15.02.2019;1177,50000;1165,08000;1178,00000;1165,08000
18.02.2019;1177,04000;1182,85000;1186,66000;1167,54000
19.02.2019;1173,64000;1174,60000;1180,01000;1164,89000
20.02.2019;1194,40000;1179,37000;1194,85000;1179,37000
21.02.2019;1188,60000;1194,38000;1199,71000;1184,50000
22.02.2019;1198,40000;1186,97000;1198,40000;1186,14000
25.02.2019;1201,57000;1200,37000;1210,88000;1195,12000
26.02.2019;1193,07000;1196,90000;1196,90000;1186,28000
27.02.2019;1191,01000;1196,57000;1199,77000;1183,38000
28.02.2019;1188,28000;1191,84000;1192,34000;1181,14000
01.03.2019;1187,35000;1188,80000;1194,47000;1184,46000
04.03.2019;1185,83000;1184,34000;1190,28000;1182,72000
05.03.2019;1180,15000;1184,68000;1185,65000;1177,37000
06.03.2019;1191,51000;1182,11000;1193,91000;1182,11000
07.03.2019;1179,58000;1189,81000;1190,94000;1177,53000
11.03.2019;1176,71000;1176,03000;1179,62000;1173,05000
12.03.2019;1183,34000;1179,20000;1188,37000;1178,78000
13.03.2019;1189,14000;1184,87000;1189,14000;1177,84000
14.03.2019;1181,96000;1189,58000;1193,21000;1179,67000
15.03.2019;1196,75000;1182,78000;1196,75000;1182,78000
18.03.2019;1213,35000;1204,05000;1218,35000;1201,77000
19.03.2019;1219,78000;1216,26000;1223,33000;1214,40000
20.03.2019;1226,26000;1220,05000;1227,33000;1216,71000
21.03.2019;1237,68000;1235,79000;1243,70000;1234,02000
22.03.2019;1213,40000;1237,00000;1240,14000;1209,14000
25.03.2019;1228,34000;1212,07000;1229,93000;1205,19000
26.03.2019;1229,96000;1228,32000;1236,19000;1223,80000
27.03.2019;1207,23000;1228,29000;1229,43000;1207,23000
28.03.2019;1207,31000;1208,84000;1212,64000;1203,38000
29.03.2019;1198,11000;1209,75000;1220,22000;1194,92000
01.04.2019;1214,29000;1199,31000;1217,68000;1199,31000
02.04.2019;1216,20000;1219,43000;1222,34000;1211,02000
03.04.2019;1224,35000;1220,99000;1232,64000;1220,99000
04.04.2019;1219,94000;1222,00000;1224,00000;1214,70000
05.04.2019;1225,84000;1219,83000;1229,31000;1219,60000
08.04.2019;1240,16000;1225,74000;1240,16000;1225,74000
09.04.2019;1248,38000;1244,90000;1252,88000;1242,97000
10.04.2019;1262,48000;1248,22000;1263,61000;1245,10000
11.04.2019;1245,17000;1262,78000;1266,08000;1245,17000
12.04.2019;1253,44000;1243,74000;1260,49000;1243,60000
15.04.2019;1246,99000;1255,43000;1260,46000;1242,77000
16.04.2019;1255,45000;1248,56000;1258,53000;1244,73000
17.04.2019;1265,51000;1259,75000;1269,86000;1259,75000
18.04.2019;1262,28000;1266,51000;1266,51000;1254,28000
19.04.2019;1260,82000;1262,73000;1265,60000;1259,28000
22.04.2019;1275,59000;1262,64000;1276,98000;1262,64000
23.04.2019;1277,71000;1276,75000;1284,91000;1271,58000
24.04.2019;1263,97000;1279,71000;1279,79000;1257,94000
25.04.2019;1245,98000;1262,49000;1263,20000;1244,80000
26.04.2019;1247,01000;1247,64000;1248,29000;1239,97000
29.04.2019;1254,96000;1247,80000;1255,55000;1247,21000
30.04.2019;1248,39000;1255,83000;1255,90000;1244,86000
02.05.2019;1238,05000;1247,09000;1249,41000;1236,94000
03.05.2019;1248,39000;1239,21000;1250,79000;1239,21000
06.05.2019;1245,59000;1243,52000;1245,59000;1228,15000
07.05.2019;1237,86000;1245,91000;1247,95000;1234,93000
08.05.2019;1233,05000;1234,93000;1239,86000;1229,01000
10.05.2019;1213,79000;1228,82000;1229,69000;1210,67000
13.05.2019;1207,57000;1215,63000;1221,53000;1206,96000
14.05.2019;1241,51000;1208,00000;1243,96000;1208,00000
15.05.2019;1247,02000;1246,28000;1251,41000;1239,02000
