"DateTime";"Максимальная температура, С";"Средняя температура, С";"Минимальная температура, С"
2019-01-01 00:00:00;-23;-29;-35
2019-01-02 00:00:00;-25;-29.5;-34
2019-01-03 00:00:00;-20;-25.5;-31
2019-01-04 00:00:00;-19;-25;-31
2019-01-05 00:00:00;-24;-29;-34
2019-01-06 00:00:00;-20;-27;-34
2019-01-07 00:00:00;-16;-22;-28
2019-01-08 00:00:00;-17;-23;-29
2019-01-09 00:00:00;-14;-21;-28
2019-01-10 00:00:00;-17;-23.5;-30
2019-01-11 00:00:00;-14;-21.5;-29
2019-01-12 00:00:00;-16;-20.5;-25
2019-01-13 00:00:00;-13;-19;-25
2019-01-14 00:00:00;-19;-24;-29
2019-01-15 00:00:00;-16;-21;-26
2019-01-16 00:00:00;-15;-21.5;-28
2019-01-17 00:00:00;-12;-20;-28
2019-01-18 00:00:00;-9;-13;-17
2019-01-19 00:00:00;-11;-16.5;-22
2019-01-20 00:00:00;-11;-17;-23
2019-01-21 00:00:00;-8;-14.5;-21
2019-01-22 00:00:00;-6;-11.5;-17
2019-01-23 00:00:00;-6;-12.5;-19
2019-01-24 00:00:00;-11;-17.5;-24
2019-01-25 00:00:00;-12;-18;-24
2019-01-26 00:00:00;-11;-16.5;-22
2019-01-27 00:00:00;-10;-17;-24
2019-01-28 00:00:00;-9;-16;-23
2019-01-29 00:00:00;-17;-20;-23
2019-01-30 00:00:00;-12;-17;-22
2019-01-31 00:00:00;-13;-18;-23
2019-02-01 00:00:00;-13;-19.5;-26
2019-02-02 00:00:00;-24;-30.5;-37
2019-02-03 00:00:00;-25;-32;-39
2019-02-04 00:00:00;-23;-29.5;-36
2019-02-05 00:00:00;-26;-30.5;-35
2019-02-06 00:00:00;-25;-32.5;-40
2019-02-07 00:00:00;-24;-32;-40
2019-02-08 00:00:00;-21;-29.5;-38
2019-02-09 00:00:00;-20;-28;-36
2019-02-10 00:00:00;-20;-28.5;-37
2019-02-11 00:00:00;-21;-29.5;-38
2019-02-12 00:00:00;-20;-29;-38
2019-02-13 00:00:00;-19;-28;-37
2019-02-14 00:00:00;-15;-25;-35
2019-02-15 00:00:00;-10;-20;-30
2019-02-16 00:00:00;-10;-19.5;-29
2019-02-17 00:00:00;-9;-19.5;-30
2019-02-18 00:00:00;-9;-19;-29
